@relation game1

@attribute 1213 numeric
@attribute left {left,right,NA}
@attribute home {home,away}

@data
1213,left,home
1213,right,away
1213,right,home
1213,left,home
1213,left,away
1213,left,away
1213,left,home
1213,left,home
1213,right,home
1213,right,away
1213,right,home
1213,right,home
1213,right,home
1213,right,away
1213,right,home
1213,right,away
1213,right,home
1213,left,home
1213,left,home
1213,right,away
1213,right,home
1213,right,home
1213,right,home
1213,right,away
1213,right,home
1213,left,home
1213,left,home
1213,right,home
1213,right,home
1213,left,away
1213,right,home
1213,left,home
1213,left,away
1213,right,away
1213,right,home
1213,left,home
1213,right,home
1213,left,away
1213,left,home
1213,left,away
1213,left,away
1213,left,home
1213,left,home
1213,left,away
1213,right,home
1213,right,home
1213,right,home
1213,right,home
1213,right,home
1213,right,home
1213,right,away
1213,right,home
1213,right,home
1213,right,home
1213,right,away
1213,right,home
1617,left,home
1617,left,home
1617,right,away
1617,right,away
1415,left,away
1415,left,home
1415,right,away
1415,right,home
1415,left,away
1415,right,home
1516,left,home
1516,left,away
1516,right,away
1516,right,away
1516,left,home
1516,right,away
1516,right,away
1516,left,away
1516,left,home
1516,right,away
1314,left,home
1314,left,home
1314,right,home
1314,right,home
1314,left,away
1314,right,home
1516,right,home
1516,right,home
1516,right,away
1516,right,home
1516,right,away
1516,right,away
1415,right,home
1415,right,away
1415,left,away
1415,left,away
1415,right,home
1415,right,home
1415,right,away
1415,left,home
1415,left,away
1415,right,away
1415,left,away
1415,right,away
1314,right,home
1314,right,home
1314,right,home
1314,right,home
1314,right,home
1314,right,home
1314,right,away
1516,right,home
1516,right,home
1516,right,home
1516,right,away
1516,right,away
1516,right,away
1415,left,away
1415,left,home
1415,right,home
1415,right,away
1415,left,away
1415,right,home
1415,right,home
1415,right,home
1415,left,away
1415,left,home
1415,right,away
1415,left,away
1314,left,away
1314,left,away
1314,right,away
1314,right,away
1314,left,home
1314,right,home
1314,left,away
1415,right,home
1415,right,home
1415,right,away
1415,right,away
1314,right,home
1314,right,away
1314,right,home
1314,right,home
1314,right,home
1314,right,away
1314,right,away
1516,right,home
1516,right,away
1516,left,home
1516,left,home
1516,right,home
1516,left,home
1516,right,away
1516,right,home
1516,left,home
1516,left,away
1516,right,away
1516,left,home
1314,left,home
1314,left,home
1314,right,home
1314,right,home
1314,left,home
1314,right,away
1617,left,away
1617,left,home
1617,left,home
1617,left,home
1617,left,home
1617,left,home
1516,left,home
1516,left,away
1516,right,away
1516,right,away
1516,left,away
1516,right,home
1516,left,home
1415,right,away
1415,right,home
1415,right,home
1415,right,home
1415,right,home
1415,right,away
1415,right,home
1415,right,away
1415,right,away
1415,left,home
1415,left,away
1415,right,home
1415,left,home
1617,right,home
1617,right,away
1617,right,home
1617,right,away
1617,right,home
1617,right,away
1617,left,home
1617,left,home
1617,left,away
1617,left,home
1617,left,home
1415,right,away
1415,right,home
1415,left,home
1415,left,away
1415,right,home
1415,left,home
1415,right,home
1617,right,away
1617,right,away
1617,left,home
1617,left,away
1617,right,away
1516,left,away
1516,left,home
1516,left,away
1516,left,home
1516,left,away
1516,left,away
1516,left,home
1617,right,away
1617,right,away
1617,left,away
1617,left,home
1617,right,home
1617,left,away
1617,right,away
1415,left,home
1415,left,home
1415,right,away
1415,right,away
1718,NA,home
1718,NA,away
1718,left,away
1718,left,home
1718,left,away
1718,left,away
1718,left,away
1718,left,home
1718,left,home
1718,left,away
1718,left,away
1718,right,away
1718,right,away
1718,left,home
1718,right,home
1718,left,away
1718,right,away
1718,right,away
1718,left,away
1718,left,away
1718,right,home
1718,left,away
1718,left,away
1718,left,home
1718,right,home
1718,right,away
1718,left,away
1718,right,away
1718,left,away
1718,NA,home
1718,NA,home
1718,right,away
1718,right,away
1718,left,away
1718,left,home
1718,left,away
1718,left,away
1718,left,home
1718,left,home
1718,left,away
1718,right,away
1718,right,away
1718,left,away
1718,right,away
1718,left,home
1718,left,home
1718,left,home
1718,left,away
1718,left,home
1718,right,home
1718,right,away
1718,NA,home
1718,NA,home
1718,right,away
1718,left,home
1718,left,home
1718,right,home
1718,right,away
1718,left,away
1718,right,home
1718,left,home
1718,left,home
1718,left,home
1718,right,home
1718,right,away
1718,left,away
1718,right,away
1718,NA,home
1718,NA,away
1718,right,home
1718,right,home
1718,NA,away
1718,right,away
1718,right,home
1718,left,away
1718,left,home
1718,right,home
1718,left,away
1718,right,home
1718,right,home
1718,right,home
1718,right,away
1718,right,home
1314,right,home
1314,right,away
1213,left,home
1213,left,home
1314,left,home
1213,left,away
1213,NA,home
1314,left,away
1213,right,home
1314,left,home
1314,left,home
1213,left,away
1213,right,away
1314,right,home
1314,left,away
1314,left,away
1314,left,away
1314,left,away
1314,left,home
1314,left,home
1314,right,home
1314,left,home
1314,left,home
1213,right,home
1314,right,home
1213,right,away
1314,right,away
1314,left,away
1314,left,home
1314,NA,home
1314,left,away
1314,right,away
1314,right,home
1314,left,home
1213,right,home
1314,right,away
1314,left,away
1213,right,home
1213,left,home
1213,left,away
1314,left,home
1314,left,home
1213,right,home
1314,left,away
1314,right,home
1314,left,home
1314,right,home
1314,left,home
1314,left,home
1213,left,home
1213,left,home
1314,left,away
1213,left,away
1314,left,away
1314,right,away
1314,left,away
1213,left,away
1213,right,home
1314,left,home
1314,right,away
1314,right,away
1314,right,home
1213,left,away
1314,right,home
1213,right,away
1213,left,home
1213,right,home
1213,right,away
1213,right,home
1213,right,home
1213,left,away
1314,right,home
1314,left,home
1314,right,away
1213,right,home
1213,right,away
1314,right,away
1314,right,home
1213,right,home
1213,right,away
1314,left,away
1314,right,home
1314,left,away
1213,right,away
1314,right,away
1213,left,home
1314,right,away
1314,left,away
1314,left,away
1213,right,home
1314,right,home
1314,left,away
1314,left,away
1213,right,away
1314,left,home
1213,left,home
1314,right,away
1314,left,away
1314,left,home
1314,right,home
1213,left,away
1213,right,home
1314,right,home
1314,right,away
1314,right,away
1314,NA,away
1213,right,away
1314,right,away
1213,left,home
1314,left,home
1314,right,home
1213,right,away
1213,right,home
1314,left,home
1314,left,home
1213,left,home
1314,right,away
1314,right,home
1314,right,away
1314,left,away
1314,left,away
1314,left,home
1213,right,home
1314,left,home
1213,right,home
1213,right,away
1213,right,home
1213,right,away
1213,left,away
1314,right,home
1314,right,home
1213,left,home
1314,right,home
1314,right,home
1213,right,away
1314,left,home
1314,left,away
1314,left,away
1314,right,away
1314,right,home
1314,right,away
1213,left,away
1213,left,home
1415,left,away
1415,right,home
1415,left,away
1415,left,away
1415,right,home
1415,left,home
1415,left,away
1415,right,home
1415,right,away
1415,left,away
1415,left,home
1415,left,home
1415,right,home
1415,right,away
1415,left,away
1415,left,away
1415,left,home
1415,left,away
1415,right,home
1415,right,home
1415,left,home
1415,left,away
1415,right,away
1415,left,away
1415,right,away
1415,right,away
1415,left,home
1415,left,away
1415,left,away
1415,left,home
1415,left,away
1415,left,away
1415,right,home
1415,left,away
1415,left,home
1415,right,home
1415,right,home
1415,right,away
1415,right,away
1415,left,away
1415,left,home
1415,left,away
1415,right,home
1415,left,home
1415,right,away
1415,left,home
1415,left,home
1415,right,home
1415,right,home
1415,right,home
1415,right,away
1415,left,home
1415,left,away
1415,right,away
1415,right,home
1415,left,away
1415,left,away
1415,left,away
1415,right,away
1415,right,home
1415,left,home
1415,left,away
1415,right,away
1415,left,home
1415,right,home
1415,left,away
1415,right,away
1415,right,home
1415,left,away
1415,right,home
1415,right,away
1415,right,away
1415,right,home
1415,left,away
1415,left,home
1415,left,home
1415,right,away
1415,right,home
1415,right,home
1415,right,away
1415,left,away
1415,left,home
1415,left,away
1415,right,away
1415,left,home
1415,right,away
1415,right,away
1415,left,away
1415,right,away
1415,left,away
1415,left,away
1415,right,away
1415,left,home
1415,left,away
1415,right,home
1415,right,away
1415,right,home
1415,right,home
1415,right,home
1415,right,home
1415,right,away
1415,left,home
1415,right,away
1415,left,away
1415,right,home
1415,left,home
1415,right,away
1415,left,home
1415,left,home
1415,right,away
1415,right,home
1415,right,away
1415,right,home
1415,left,home
1415,right,home
1415,right,home
1415,left,away
1415,right,away
1415,right,away
1415,right,away
1415,right,home
1415,right,home
1415,right,away
1415,left,away
1415,right,away
1415,right,away
1415,left,home
1415,left,home
1415,right,home
1415,left,away
1415,left,home
1415,right,home
1415,left,home
1415,left,away
1415,right,home
1415,left,home
1415,right,away
1415,left,away
1415,right,home
1415,right,home
1415,left,away
1415,left,home
1415,right,home
1415,left,home
1415,left,home
1415,left,home
1415,right,home
1415,right,home
1415,right,home
1415,right,home
1415,right,away
1415,right,away
1415,right,away
1415,left,away
1415,left,home
1415,left,home
1415,right,away
1415,left,away
1415,left,home
1415,right,away
1415,right,home
1415,right,away
1415,right,home
1617,right,home
1718,left,away
1516,right,away
1516,right,home
1718,left,home
1617,right,away
1516,right,home
1718,left,home
1718,right,home
1516,left,away
1718,right,away
1617,right,home
1718,left,home
1617,left,away
1617,right,home
1617,left,away
1617,right,home
1718,right,away
1718,right,away
1516,left,away
1718,right,home
1617,left,home
1718,right,away
1617,left,home
1516,left,home
1516,left,home
1718,right,home
1617,right,home
1516,left,home
1718,right,away
1516,left,home
1718,right,home
1516,right,away
1617,right,home
1718,right,home
1516,right,home
1516,right,home
1718,left,home
1617,left,home
1718,right,home
1718,right,home
1516,right,away
1718,right,home
1718,right,home
1516,left,home
1617,right,away
1718,left,home
1617,left,home
1718,right,home
1617,right,home
1617,right,home
1617,right,home
1516,right,home
1718,right,home
1516,left,home
1617,right,home
1617,right,home
1617,right,away
1617,right,away
1516,left,away
1617,right,home
1718,left,home
1617,left,home
1718,left,home
1516,left,away
1516,left,away
1718,right,away
1718,left,home
1617,right,home
1718,right,home
1617,right,home
1617,right,away
1516,left,away
1617,right,away
1617,left,away
1718,left,home
1516,right,home
1718,right,away
1718,left,home
1718,left,home
1718,right,home
1516,left,home
1516,left,away
1617,left,away
1718,right,away
1516,right,home
1516,left,away
1516,left,home
